FID,wkb_geometry,id,parkomat_id,vejkode,p_zone,beboer_zone,vejnavn,husnr,placering,ejerlavkode,opret_dato,ret_dato
parkomat.635,POINT (12.553895185924336 55.669443509562704),568,3028,3312,BLÅ,VB,ISTEDGADE,80,,2000174,2010-03-01,
parkomat.636,POINT (12.55302294514585 55.669004138866995),569,3029,1260,BLÅ,VB,DANNEBROGSGADE,39A,,2000174,2010-03-01,
parkomat.637,POINT (12.553094028009001 55.66809490401616),570,3030,1260,BLÅ,VB,DANNEBROGSGADE,48,,2000174,2010-03-01,
parkomat.638,POINT (12.55316665443487 55.667385781089266),571,3031,1260,BLÅ,VB,DANNEBROGSGADE,,,2000174,2010-03-01,
parkomat.639,POINT (12.554286187601122 55.66904697079194),572,3032,6544,BLÅ,VB,SKYDEBANEGADE,5,,2000174,2010-03-01,
parkomat.640,POINT (12.554311662446311 55.668242768411915),573,3033,6544,BLÅ,VB,SKYDEBANEGADE,32,,2000174,2010-03-01,
parkomat.641,POINT (12.555217571732019 55.66801496381721),574,3034,7288,BLÅ,VB,SØNDER BOULEVARD,24,,2000174,2010-03-01,
parkomat.642,POINT (12.553917896859046 55.66739093703327),575,3035,7288,BLÅ,VB,SØNDER BOULEVARD,38,,2000174,2010-03-01,
parkomat.643,POINT (12.553625025852888 55.6660803622835),576,3036,1376,BLÅ,VB,DYBBØLSGADE,33,,2000174,2010-03-01,
parkomat.644,POINT (12.554325545312697 55.665563630544504),577,3037,1656,BLÅ,VB,ESBERN SNARRES GADE,5,,2000174,2010-03-01,
parkomat.645,POINT (12.554699446611409 55.66492586403836),578,3038,1656,BLÅ,VB,ESBERN SNARRES GADE,22,,2000174,2010-03-01,
parkomat.646,POINT (12.553207212921416 55.665226836264466),579,3039,0212,BLÅ,VB,ARKONAGADE,15,,2000174,2010-03-01,
parkomat.647,POINT (12.552360484606288 55.66580294657763),580,3040,0212,BLÅ,VB,ARKONAGADE,4,,2000174,2010-03-01,
parkomat.648,POINT (12.54400869005657 55.688449613196894),784,1176,1840,BLÅ,IN,FLORASGADE,2,,2000173,2010-03-01,
parkomat.649,POINT (12.543273499221984 55.68782110967095),785,1181,2908,BLÅ,IN,HIORT LORENZENS GADE,10,,2000173,2010-03-01,
parkomat.650,POINT (12.544409193316218 55.68779133087354),786,1177,4188,BLÅ,IN,LAURIDS SKAUS GADE,7,Husmur,2000173,2010-03-01,
parkomat.651,POINT (12.544672855855742 55.68670403164283),787,1178,4188,BLÅ,IN,LAURIDS SKAUS GADE,3,,2000173,2010-03-01,
parkomat.652,POINT (12.544189091157293 55.687368265492836),788,1179,2908,BLÅ,IN,HIORT LORENZENS GADE,4,,2000173,2010-03-01,
parkomat.653,POINT (12.542446965024437 55.688111042847666),789,1183,2908,BLÅ,IN,HIORT LORENZENS GADE,29,,2000173,2010-03-01,
parkomat.654,POINT (12.5427771339543 55.68765028548488),790,1182,2908,BLÅ,IN,KRÜGERSGADE,1,,2000173,2010-03-01,
parkomat.655,POINT (12.543665732761665 55.68726821239714),791,1180,0064,BLÅ,IN,AHLMANNSGADE,3A,,2000173,2010-03-01,
parkomat.656,POINT (12.544508903605822 55.68993009650893),792,1184,2588,BLÅ,IN,HANS EGEDES GADE,,,2000173,2010-03-01,
parkomat.657,POINT (12.551609962792435 55.68668853968094),793,1185,3564,BLÅ,IN,KAPELVEJ,42,,2000173,2010-03-01,
parkomat.658,POINT (12.550630080948366 55.68558316823905),794,1187,3564,BLÅ,IN,KAPELVEJ,56,,2000173,2010-03-01,
parkomat.659,POINT (12.55092350365728 55.6859835868917),795,1186,5724,BLÅ,IN,RANTZAUSGADE,19,,2000173,2010-03-01,
parkomat.660,POINT (12.5497734692205 55.68639573525471),796,1188,5724,BLÅ,IN,RANTZAUSGADE,23E,Husmur,2000173,2010-03-01,
parkomat.661,POINT (12.550461556687399 55.68710589521594),797,1190,7032,BLÅ,IN,STRUENSEEGADE,,,2000173,2010-03-01,
parkomat.662,POINT (12.54946885063515 55.687483406621766),798,1189,7032,BLÅ,IN,STRUENSEEGADE,18,,2000173,2010-03-01,
parkomat.663,POINT (12.54827103110667 55.68772188738597),799,1191,7032,BLÅ,IN,STRUENSEEGADE,27,Husmur,2000173,2010-03-01,
parkomat.664,POINT (12.547221209901627 55.688275281423756),800,1192,7032,BLÅ,IN,STRUENSEEGADE,38,,2000173,2010-03-01,
parkomat.665,POINT (12.545146431728128 55.68891342479888),801,1194,7032,BLÅ,IN,STRUENSEEGADE,55,,2000173,2010-03-01,
parkomat.666,POINT (12.546490545807487 55.6924175529107),802,1195,3332,BLÅ,IN,JAGTVEJ,43,,2000173,2010-03-01,
parkomat.667,POINT (12.547101337372801 55.69295878003332),803,1196,3332,BLÅ,IN,JAGTVEJ,51,Husmur,2000173,2010-03-01,
parkomat.668,POINT (12.547892149330284 55.69366079716903),804,1197,3332,BLÅ,IN,JAGTVEJ,63,,2000173,2010-03-01,
parkomat.669,POINT (12.550093126842745 55.695646477607006),805,1199,3332,BLÅ,IN,JAGTVEJ,105A,,2000173,2010-03-01,
parkomat.670,POINT (12.550412642623208 55.695492270334285),806,1200,3332,BLÅ,IN,JAGTVEJ,75,,2000173,2010-03-01,
parkomat.671,POINT (12.551207002167958 55.69660462689325),807,1201,3332,BLÅ,IN,JAGTVEJ,115,,2000173,2010-03-01,
parkomat.672,POINT (12.551697642775743 55.69664601296514),808,1202,3332,BLÅ,IN,JAGTVEJ,78,,2000173,2010-03-01,
